"univ_id","univ_name","univ_abbrev","state_code","state_name","metro1","metro1_name","metro2","metro2_name","metro3","metro3_name","count"
199193,"North Carolina State University","NCSU","NC","North Carolina",39580,"Raleigh, NC",35620,"New York-Newark-Jersey City, NY-NJ-PA",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",371
186380,"Rutgers University-New Brunswick","Rutgers","NJ","New Jersey",35620,"New York-Newark-Jersey City, NY-NJ-PA",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",41860,"San Francisco-Oakland-Hayward, CA",1629
196097,"Stony Brook University","SUNY Stony Brook","NY","New York",35620,"New York-Newark-Jersey City, NY-NJ-PA",25540,"Hartford-West Hartford-East Hartford, CT",37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1101
100751,"University of Alabama","U of Alabama","AL","Alabama",13820,"Birmingham-Hoover, AL",12060,"Atlanta-Sandy Springs-Roswell, GA",19100,"Dallas-Fort Worth-Arlington, TX",4349
106397,"University of Arkansas","U of Arkansas","AR","Arkansas",22220,"Fayetteville-Springdale-Rogers, AR-MO",19100,"Dallas-Fort Worth-Arlington, TX",16980,"Chicago-Naperville-Elgin, IL-IN-WI",1013
110635,"University of California-Berkeley","UC Berkeley","CA","California",41860,"San Francisco-Oakland-Hayward, CA",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",12060,"Atlanta-Sandy Springs-Roswell, GA",906
110653,"University of California-Irvine","UC Irvine","CA","California",31080,"Los Angeles-Long Beach-Anaheim, CA",42660,"Seattle-Tacoma-Bellevue, WA",46520,"Urban Honolulu, HI",939
201885,"University of Cincinnati","U of Cincinnati","OH","Ohio",17140,"Cincinnati, OH-KY-IN",16980,"Chicago-Naperville-Elgin, IL-IN-WI",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1369
126614,"University of Colorado-Boulder","CU Boulder","CO","Colorado",19740,"Denver-Aurora-Lakewood, CO",31080,"Los Angeles-Long Beach-Anaheim, CA",16980,"Chicago-Naperville-Elgin, IL-IN-WI",1568
139959,"University of Georgia","U of Georgia","GA","Georgia",12060,"Atlanta-Sandy Springs-Roswell, GA",31080,"Los Angeles-Long Beach-Anaheim, CA",19100,"Dallas-Fort Worth-Arlington, TX",885
155317,"University of Kansas","U of Kansas","KS","Kansas",28140,"Kansas City, MO-KS",16980,"Chicago-Naperville-Elgin, IL-IN-WI",41180,"St. Louis, MO-IL",1419
166629,"University of Massachusetts-Amherst","UMass Amherst","MA","Massachusetts",14460,"Boston-Cambridge-Newton, MA-NH",35620,"New York-Newark-Jersey City, NY-NJ-PA",31080,"Los Angeles-Long Beach-Anaheim, CA",1137
181464,"University of Nebraska-Lincoln","UNL","NE","Nebraska",30700,"Lincoln, NE",16980,"Chicago-Naperville-Elgin, IL-IN-WI",19100,"Dallas-Fort Worth-Arlington, TX",1421
215293,"University of Pittsburgh","U of Pitt","PA","Pennsylvania",38300,"Pittsburgh, PA",16980,"Chicago-Naperville-Elgin, IL-IN-WI",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1233
218663,"University of South Carolina-Columbia","U of S.Carolina","SC","South Carolina",17900,"Columbia, SC",35620,"New York-Newark-Jersey City, NY-NJ-PA",16980,"Chicago-Naperville-Elgin, IL-IN-WI",1495
