cbsa_code,metro_name,state_code,total_count,pubHS_count,privHS_count,cc_count,other_count
12060,"Atlanta, Sandy Springs, Roswell",GA,277,141,56,1,79
19100,"Dallas, Fort Worth, Arlington",TX,230,136,69,0,25
35620,"New York, Newark, Jersey City","NY, NJ, PA",172,130,23,6,13
47900,"Washington, Arlington, Alexandria","DC, VA, MD, WV",145,100,28,0,17
26420,"Houston, The Woodlands, Sugar Land",TX,139,102,32,0,5
42660,"Seattle, Tacoma, Bellevue",WA,119,73,25,0,21
33100,"Miami, Fort Lauderdale, West Palm Beach",FL,112,71,37,0,4
14460,"Boston, Cambridge, Newton","MA, NH",111,67,26,0,18
19740,"Denver, Aurora, Lakewood",CO,107,71,9,0,27
31080,"Los Angeles, Long Beach, Anaheim",CA,101,41,43,2,15
13820,"Birmingham, Hoover",AL,85,40,10,5,30
37980,"Philadelphia, Camden, Wilmington","PA, NJ, DE, MD",84,47,29,1,7
16980,"Chicago, Naperville, Elgin","IL, IN, WI",81,52,14,4,11
41180,St. Louis,"MO, IL",80,40,30,4,6
38060,"Phoenix, Mesa, Scottsdale",AZ,76,53,13,0,10
36740,"Orlando, Kissimmee, Sanford",FL,65,40,19,0,6
45300,"Tampa, St. Petersburg, Clearwater",FL,62,33,23,0,6
41860,"San Francisco, Oakland, Hayward",CA,60,38,17,1,4
16740,"Charlotte, Concord, Gastonia","NC, SC",58,34,11,0,13
38900,"Portland, Vancouver, Hillsboro","OR, WA",55,34,8,0,13
28140,Kansas City,"MO, KS",50,36,11,0,3
12420,"Austin, Round Rock",TX,50,38,10,0,2
46220,Tuscaloosa,AL,48,8,4,30,6
12580,"Baltimore, Columbia, Towson",MD,46,13,24,4,5
31140,Louisville/Jefferson County,"KY, IN",46,25,17,0,4
26900,"Indianapolis, Carmel, Anderson",IN,44,16,7,0,21
32820,Memphis,"TN, MS, AR",42,20,18,0,4
19820,"Detroit, Warren, Dearborn",MI,39,22,5,1,11
34980,"Nashville-Davidson, Murfreesboro, Franklin",TN,37,17,14,2,4
33660,Mobile,AL,35,13,11,5,6
33340,"Milwaukee, Waukesha, West Allis",WI,32,27,3,0,2
47260,"Virginia Beach, Norfolk, Newport News","VA, NC",31,14,7,1,9
17900,Columbia,SC,31,24,4,0,3
39580,Raleigh,NC,31,24,6,0,1
38300,Pittsburgh,PA,30,20,4,1,5
17820,Colorado Springs,CO,28,18,2,0,8
24340,"Grand Rapids, Wyoming",MI,27,17,5,0,5
24860,"Greenville, Anderson, Mauldin",SC,26,16,4,0,6
40060,Richmond,VA,26,10,7,0,9
26620,Huntsville,AL,26,8,5,1,12
40900,"Sacramento, Roseville, Arden-Arcade",CA,24,16,4,2,2
30460,"Lexington, Fayette",KY,23,12,6,0,5
41700,"San Antonio, New Braunfels",TX,22,12,3,0,7
41940,"San Jose, Sunnyvale, Santa Clara",CA,22,13,7,1,1
27260,Jacksonville,FL,22,10,10,1,1
41740,"San Diego, Carlsbad",CA,21,5,7,0,9
35840,"North Port, Sarasota, Bradenton",FL,21,13,6,1,1
20020,Dothan,AL,21,5,8,4,4
14860,"Bridgeport, Stamford, Norwalk",CT,19,13,3,0,3
17140,Cincinnati,"OH, KY, IN",19,7,7,0,5
22520,"Florence, Muscle Shoals",AL,19,10,1,3,5
16860,Chattanooga,"TN, GA",18,11,4,0,3
37100,"Oxnard, Thousand Oaks, Ventura",CA,18,12,5,0,1
12260,"Augusta, Richmond County","GA, SC",17,9,6,0,2
