cbsa_code,metro_name,state_code,total_count,pubHS_count,privHS_count,cc_count,other_count
35620,"New York, Newark, Jersey City","NY, NJ, PA",215,165,32,2,16
14460,"Boston, Cambridge, Newton","MA, NH",176,122,45,1,8
31080,"Los Angeles, Long Beach, Anaheim",CA,50,30,18,0,2
49340,Worcester,"MA, CT",47,33,10,1,3
25540,"Hartford, West Hartford, East Hartford",CT,37,28,9,0,0
33100,"Miami, Fort Lauderdale, West Palm Beach",FL,37,19,16,0,2
47900,"Washington, Arlington, Alexandria","DC, VA, MD, WV",32,18,13,0,1
39300,"Providence, Warwick","RI, MA",30,18,8,0,4
44140,Springfield,MA,26,21,4,0,1
14860,"Bridgeport, Stamford, Norwalk",CT,23,20,1,0,2
37980,"Philadelphia, Camden, Wilmington","PA, NJ, DE, MD",22,15,6,1,0
12580,"Baltimore, Columbia, Towson",MD,20,3,16,1,0
41740,"San Diego, Carlsbad",CA,16,12,4,0,0
41860,"San Francisco, Oakland, Hayward",CA,15,9,6,0,0
35300,"New Haven, Milford",CT,11,4,6,0,1
45300,"Tampa, St. Petersburg, Clearwater",FL,11,7,3,0,1
45860,Torrington,CT,10,4,6,0,0
16980,"Chicago, Naperville, Elgin","IL, IN, WI",10,9,1,0,0
38860,"Portland, South Portland",ME,10,7,2,0,1
36740,"Orlando, Kissimmee, Sanford",FL,9,6,3,0,0
38340,Pittsfield,MA,8,7,0,1,0
10580,"Albany, Schenectady, Troy",NY,8,6,1,1,0
35980,"Norwich, New London",CT,7,6,1,0,0
12060,"Atlanta, Sandy Springs, Roswell",GA,7,2,5,0,0
24640,Greenfield Town,MA,7,6,1,0,0
12700,Barnstable Town,MA,7,6,1,0,0
40140,"Riverside, San Bernardino, Ontario",CA,5,3,1,0,1
33460,"Minneapolis, St. Paul, Bloomington","MN, WI",5,1,3,0,1
31700,"Manchester, Nashua",NH,5,4,1,0,0
27260,Jacksonville,FL,4,2,2,0,0
18180,Concord,NH,4,2,1,0,1
37100,"Oxnard, Thousand Oaks, Ventura",CA,3,2,1,0,0
42220,Santa Rosa,CA,2,1,1,0,0
35840,"North Port, Sarasota, Bradenton",FL,2,1,1,0,0
35380,"New Orleans, Metairie",LA,2,1,1,0,0
29060,Laconia,NH,2,0,2,0,0
45940,Trenton,NJ,2,2,0,0,0
28740,Kingston,NY,2,2,0,0,0
28300,Keene,NH,2,2,0,0,0
13540,Bennington,VT,2,1,1,0,0
34900,Napa,CA,1,0,1,0,0
31420,Macon,GA,1,0,1,0,0
12300,"Augusta, Waterville",ME,1,0,1,0,0
12620,Bangor,ME,1,0,0,0,1
15540,"Burlington, South Burlington",VT,1,0,0,0,1
42660,"Seattle, Tacoma, Bellevue",WA,1,0,0,0,1
17200,"Claremont, Lebanon","NH, VT",1,1,0,0,0
40860,Rutland,VT,1,1,0,0,0
